поколение,блок,код,название/гипотеза,данные,постановка,исходный_вердикт,статус_после_сверки_gen3,артефакты
gen1-2,ATMOSPHERE_DATA,A03,M3: парадокс суша/океан и noise-probe предел наблюдаемости,-,"Land/Ocean split + варианты цели residual_full, residual_no_pe, p_minus_e_only, residual_full_roll4 (24ч сглаживание)","residual_full: land gain=-0.000491 (p=0.879), ocean gain=0.001818 (p=0.0213); residual_no_pe: land~-0.000019; roll4: land=0.001357 (p=0.0567), ocean=0.004099 (~0.41%, p=0.0213). Это согласуется с шумо","Сигнал +0.34% MAE не пересматривался; gen3 B7 закрыл вопрос влагобюджета отрицательно (инкремент −0.018, p=0.92)",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A04,O1: термодинамический предел (Clausius baseline доминирует),-,"Exp O (FT слой): dS_hor ~ (1/T_eff)*dQ_in (база) против +Lambda (полная), out-of-time test (train<=2018, test=2019)","R2_base=0.932165, R2_full=0.932161, gain=-3.75e-06, perm_p=0.404. На макромасштабе доминирует классическое Clausius-замыкание, вклад Lambda подавлен",Отрицательный результат подтверждён духом gen3 (нулевые ветки сохранены),research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A05,O2: пространственная диагностика макросигнала и локальная слабость эффекта,-,Карта локальных gain по FT + корреляция с convective climatology + panel land-aware контроль,"corr(gain,convective_clim)=0.0317 (<0.3 порога), max_gain=0.000920 (<0.05 порога), panel_gain=3.42e-06, corr(lambda_recon,global_lambda)=0.9696. Пространственный эффект слабый и шумочувствительный при",Отрицательный результат подтверждён духом gen3 (нулевые ветки сохранены),research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A06,M4: фальсификация необходимости Lambda через перестановку масштабов,-,"Три стадии в одном блоке: S1 Placebo-mu (перестановка scale-слоёв в Lambda), S2 F^comm-контроль (скалярная часть), S3 AIC/BIC на OOF-остатках для ctrl, ctrl+Lambda, ctrl+placebo_mu, ctrl+comm",mae_gain_real=0.003412; mae_gain_placebo=-0.002986; perm_p(placebo)=1.0; mae_gain_comm=0.0; beta_comm=0.0; DeltaAIC=-13.202; DeltaBIC=-6.817. Реальный Lambda проходит стадии M4 и остаётся необходимым ,"Сигнал +0.34% MAE не пересматривался; gen3 B7 закрыл вопрос влагобюджета отрицательно (инкремент −0.018, p=0.92)",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A07,F5: structural-scale Lambda на ERA5/WPWP детектируется и усиливается при мультискейловости,-,"Curated Experiment M + внешние фрактальные суррогаты (PSD-наклон, variogram slope), blocked-CV, permutation, placebo-time, polynomial placebo, commutative control, land/ocean split.","oof_gain_frac=0.003412>=0.002, perm_p=0.007092<=0.05, strata_positive_frac=1.0; оба суррогата проходят связь с |Lambda|; placebo/commutative контроли деградируют; PASS_ALL=True.","Отрицательные результаты (SOC-хвосты, независимые расширения) стоят; согласуются с gen3",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A08,F6b: тяжелые хвосты |Lambda_struct| в ERA5 относятся к SOC-классу с alpha около 1.54,-,"Строгий Clauset/Newman fit: x_min выбирается по минимуму KS на сетке перцентилей [70,99], alpha оценивается MLE, сравнение хвостов через LLR (Power-law vs Exponential); запуск как на агрегированном ряду, так и на panel Lambda_local.","Global: alpha_emp=2.906392, dynamic_range=15.464, LLR p=0.009391; Panel: alpha_emp=3.306688, dynamic_range=15.269, LLR p≈0.0. Степенной хвост детектируется, но alpha устойчиво выше диапазона [1.3,2.0]","Отрицательные результаты (SOC-хвосты, независимые расширения) стоят; согласуются с gen3",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A09,F6c: внутри физически осмысленных подпространств (кластеров режимов) появится alpha в диапазоне 1.5-2.0,-,"Анти-overfit протокол: фиксированные признаки (fractal_z, conv_z, exchange_z), K=6 кластеров, Bonferroni-коррекция p-values; tail fit в каждом кластере тем же MLE+KS+LLR пайплайном.","Global alpha_mle=3.161476; any_cluster_passes_corrected_strict=False; PASS_ALL=False. Ни один кластер не вошел в alpha-диапазон [1.5,2.0] при строгих критериях.","Отрицательные результаты (SOC-хвосты, независимые расширения) стоят; согласуются с gen3",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A10,F6c-spatial: локальные географические патчи могут содержать SOC-подобные хвосты даже при отрицательном глобальном результате,-,"Patch-wise fitting на панели |Lambda_local(t,y,x)|: окно 15x15, stride=6, для каждого патча независимый MLE+KS+LLR fit и строгая маска alpha in [1.5,2.0] + dynamic range + LLR significance.","fit-available patches=300/300; alpha_min=2.7546, alpha_q10=2.9790, alpha_median=3.2272; strict SOC-candidate patches=0. Локальных «карманов» SOC-диапазона не обнаружено.","Отрицательные результаты (SOC-хвосты, независимые расширения) стоят; согласуются с gen3",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A11,M5: строгий transfer-тест Phi над Lambda на хронологических holdout'ах ERA5,-,Strict protocol: train<=2019 -> test=2020 -> external=2021; ridge и permutation фиксированы; сравнение ERA5+Lambda vs ERA5+Lambda+Phi и shuffled-Phi.,"Канонический endpoint: phi-only strict (causal2019) даёт gain_lambda_vs_ctrl=-0.002240 (p=0.4055), gain_phi_vs_lambda=-0.000067 (p=0.3810), external gain_phi_vs_lambda=-0.000023 (p=0.3350). Интерпрета",Отрицательный результат стоит,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A12,М6: строгий halo-boundary closure с оценкой только по внутреннему ядру,-,Core-only scoring + halo predictors; split train<=2019 -> test=2020 -> external=2021; blocked chronology; модельная лестница ERA_core/ERA_window/+Phi_H/+Lambda_H/shuffled.,"Канонический run v2: ERA_window gain_vs_core=0.136707 (test 2020, p=0.0005) и 0.092229 (external 2021, p=0.0005). Halo-context даёт большой и устойчивый переносимый прирост по сравнению с core-only ba",ПЕРЕИНТЕРПРЕТИРОВАН (gen3): эффект соседства = пространственная автокорреляция/граничные условия; вклад Λ/Φ ~1e-4,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A13,М7: preregistered halo-width scan в фиксированной core-постановке,-,"Locked protocol: core_margin=10, halo_mode=local, widths {0,4,6,8,10}, одинаковая лестница моделей и permutation n=1999.","ERA_window gain_vs_core: w0=0.000000/0.000000, w4=0.151703/0.156626, w6=0.137846/0.131756, w8=0.129966/0.112355, w10=0.126708/0.097619 (test/external; p=0.0005 для w>=4). Оптимум на w=4 и явное насыще",ПЕРЕИНТЕРПРЕТИРОВАН (gen3): эффект соседства = пространственная автокорреляция/граничные условия; вклад Λ/Φ ~1e-4,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A14,М8: фальсификационный блок halo-physics (`local` vs `remote` vs `misaligned`),-,Фиксируем width=4 (из M7) и сравниваем local halo против remote и misaligned контролей при той же core-метрике.,"ERA_window gain_vs_core: local=0.151703/0.156626, remote=0.097182/0.058412, misaligned=0.073343/0.059724 (test/external; все p=0.0005). Разности local-remote: +0.054521/+0.098214; local-misaligned: +0",ПЕРЕИНТЕРПРЕТИРОВАН (gen3): эффект соседства = пространственная автокорреляция/граничные условия; вклад Λ/Φ ~1e-4,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A15,A15: Einstein в атмосферном столбце (ERA5 box) — детектируемая связь Lambda~Pi в инерционном окне,-,"ERA5 WPWP (u,v), scale_edges_km=[50,100,200,400,800,1600,3200], rolling W=20, rho/F/Lambda как в M-пайплайне; Pi по спектральному потоку ветра; binned условные средние по forcing/inertial/dissipation.","Базовый run (2017-01-01..2017-03-31): inertial R2_binned=0.520142, slope_binned=1.37e-4, p=0.008, PASS_ALL=True; forcing показывает инверсию/ослабление, dissipation ниже inertial. Связь детектируется ",РЕТРАГИРОВАН (gen3 B1): Λ~Π фальсифицировано против истинного потока; прокси не был потоком; знак in-sample; 1 окно из 6,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A07.R1,Независимое сезонное расширение (без ретюнинга) подтверждает сигнал M-realpilot v1 expanded positive,-,"Frozen protocol без изменений (feature set, thresholds, Ridge alpha=10, LOEO-CV, n_perm=499). Новая панель: Sep-Oct 2024, 12 событий, MRMS+ABI(C13)+GLM.","mean_mae_gain=-0.009710, perm_p_time=0.708, perm_p_event=0.160, event_positive_frac=0.417, PASS_ALL=False. Независимое расширение не воспроизводит положительный эффект, что согласуется с честной анти-",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A07.R2,В независимом окне ABI+GLM устойчивее ABI-only при неизменном протоколе,-,"На том же modeling_dataset из A07.R1 сравнение двух frozen-вариантов структурных столбцов: ABI-only (abi_cold_frac_235, abi_grad_mean) vs ABI+GLM (плюс glm_flash_count_log, convective_coupling_index), без ретюнинга.","ABI-only mean_gain=-0.000609 (p_time=0.132, p_event=0.082); ABI+GLM mean_gain=-0.009710 (p_time=0.704, p_event=0.184). В этом независимом срезе добавление GLM не улучшает и даже ухудшает gain.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A07.R3,Независимое географическое расширение (Southwest) воспроизводит frozen сигнал M-realpilot,-,"Frozen protocol без изменений (feature set/thresholds/Ridge alpha=10/LOEO-CV/n_perm=499) на новой Southwest-панели (12 событий, Jul-Sep 2024), затем ABI-only vs ABI+GLM на том же modeling dataset.","main mean_gain=-0.016272, p_time=0.978, p_event=0.584, PASS_ALL=False. ABI-only=-0.011403 и ABI+GLM=-0.016272 (delta=-0.004868): в этом географическом срезе GLM-компонента не улучшает, а усиливает дег",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A07.R4,Сигнал метода определяется совместно сезоном/регионом и составом спутниковых признаков,-,"Сведены три frozen-рана (expanded-positive, independent-seasonal, independent-geographic Southwest) по осям season/region, ABI-only gain, ABI+GLM gain, доля активных окон, средняя GLM sparsity.","Положительный результат остаётся только у v1_expanded_positive (gain=0.001576); оба независимых расширения отрицательны. ABI+GLM > ABI-only только в positive run, а в независимых срезах ABI+GLM хуже A",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A07.R5,На frozen протоколе детекция структурного сигнала носит режимный характер и описывается единым периметром исходов,-,"Единый пакет для трех frozen run-ов (expanded-positive, independent seasonal, independent geographic Southwest): общий outcome-вектор y=(mean_gain,p_time,p_event,q_plus,active_minus_calm,PASS_ALL), единые статусы Detected/Compatible undetected/Bridge tension, фиксированный hash протокола.","Периметр: 1 Detected (R1) и 2 Bridge tension (R2,R3). Для R2 и R3 ABI+GLM ухудшает gain относительно ABI-only; detection подтверждена как regime-conditional на конкретном протоколе, а не универсальная",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R1,Scale-space occupancy cascade (`l->2l`) выявляет устойчивый сигнал на process-resolved панели,-,"P1-lite на realpilot expanded panel (72 rows/24 events): blocked-CV по event_id, scales l={8,16,32}, target_density_coarse, сравнение baseline vs baseline+lambda_proxy, permutation n=49.","ALL: mae_gain=5.10e-05, r2_gain=0.0220; на l=8/16 значимый положительный gain (perm_p=0.02), на l=32 H1 не проходит при положительном H2/H3. Интерпретация: fine-to-mid scale bridge детектируется устой",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R2,Некоммутирующее coarse-graining + density-matrix bridge (C009) устойчиво закрывает sparse-panel во всех масштабах,-,"P2 + ablation: grid-скрининг 75 конфигураций, top-k финал с permutation n=49; выбран C009: weights=[1.5,1,1,1], lambda_scale_power=0.5, decoherence_alpha=0.5.","selected C009 (sparse 72x24): ALL mae_gain=7.43e-06, r2_gain=0.003392, perm_p=0.02, PASS_ALL=True; по l=8/16/32 все scale-level критерии проходят. C009 принят как канонический baseline.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R3,Калиброванный C009 переносится на dense ingest с положительным общим gain при fine-scale чувствительности,-,"Dense ingest (240 rows/16 stable events, контекст +/-6h) + тот же C009 и blocked-CV по event_id; сравнение sparse vs dense по общим и per-scale метрикам.","ALL остаётся положительным: mae_gain=3.10e-07, r2_gain=0.002100; l=16 и l=32 значимы (perm_p=0.02), l=8 деградирует (perm_p=0.80), поэтому PASS_ALL=False. Интерпретация: эффект сохраняется, но finest ",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R4,Узкий diagnostic block по l=8 подтверждает физическую природу деградации и обосновывает P2-memory,-,"5 тестов: matched-event, local scalar ablation, operator attribution, resolution scan, regime split + целевой combo-check; использован final memo report_P2_l8_resolution.md.","Matched-event: проблема не объясняется только составом событий; scalar ablation не лечит сигнал; drop_sq и threshold=2.5 в диагностике восстанавливают pass (combo: mae_gain=6.98e-06, r2_gain=0.00656, ",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R5,Retarded density-matrix memory stabilizes fine-scale transfer on dense panel without ad-hoc retuning,-,"P2-memory-lite поверх locked C009 на dense tile panel: lagged occupancy/density features t-1,t-2, exponential decay weights, blocked-CV по event_id, память применяется на l=8 при полном наборе операторов и стандартном threshold=3.0.","Best config M001: memory_eta=0.8, memory_tau=0.75, persistence_power=0.0, source=occupancy. l=8: mae_gain=1.22e-06, r2_gain=1.34e-04, perm_p=0.02, event_positive_frac=0.9375, PASS_ALL=True. ALL: mae_g",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A05.R6,"Полная GKSL/CPTP память на l=8 подтверждает, что memory-эффект не является суррогатным артефактом",-,"State-space модель: rho_t = Reset_t o GAD_t o Dephase_t o U_t(rho_{t-1}), blocked-CV по event_id, locked C009 без ручного drop channels/threshold.","Best G001: dephase_base=0.8, dephase_comm=0.4, relax_base=0.8, relax_comm=0.0, measurement=1.6, hamiltonian=0.2. CPTP validation proxy (trace/PSD violation) ~8.88e-16. l=8: mae_gain=2.27e-06, r2_gain=",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A11.E1,Санити-проверка переноса M1 на расширенные хронологические диапазоны без memory-расширений,-,"Серия locked запусков experiment_M_cosmo_flow: 2017-2020, causal2018, 2020q1, 2017-2021 causal2019.","oof_gain_frac в диапазоне 0.000280..0.001240, split_gain_min отрицателен во всех вариантах, pass_all=False. Базовый перенос слабый и неустойчивый.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A11.E2,Нестрогие bridge-варианты могут переоценивать инкремент Phi при ослаблении locking/causal ограничений,-,Family run-ы: experiment_M_gksl_hybrid_bridge + screened/locked/raw variants.,"В non-strict вариантах встречается большой прирост (до gain_phi_vs_lambda=0.016538), который не воспроизводится в строгих постановках. Эти результаты переведены в диагностический статус.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A11.E3,Дополнительные strict-hybrid варианты нужны для чувствительности к режиму отбора признаков,-,Strict variants: locked_raw/screened/nested/noncausal и разбиения 2017-2020.,Знаки gain_phi_vs_lambda и p-values меняются между вариантами; перенос в external нестабилен. Это подтверждает выбор канонического отрицательного endpoint по заранее зафиксированной causal2019 схеме.,Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A11.E4,Дополнительные phi-only strict варианты (causal2018) как robustness-check,-,Запуски: experiment_M_phi_only_strict_causal2018_locked_raw_perm1999 и nested_perm1999.,"На holdout 2019 возможен малый положительный gain_phi_vs_lambda, но external 2020 неустойчив (знак/значимость плавают). В канонический блок не включено.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_EXTENSION,A12.E1,Префинальный halo strict run до корректировки v2,-,Run: experiment_M_halo_boundary_strict_causal2019_train2019_test2020_ext2021 (pre-final) -> v2 (canonical).,"v1 уже положителен (test 0.143558 / external 0.099674), но в каноне зафиксирован corrected v2 для единообразия feature-пайплайна.",Не пересматривался в gen3,research_programm_summary.csv; clean_experiments/
gen3,B1,B1,Λ_b отслеживает истинный межмасштабный поток энергии,"ERA5 850гПа u,v 0.25° 6ч; 2 региона × 4 окна 2017-2019",Истинный поток Жермано-Алюи (DNS-валидация) против Λ и 4 суррогатов; сырые статистики; фикс. знак; фазовые нули,NEGATIVE: Λ R²=0.002-0.007 против 0.35-0.47 у Смагоринского; прокси A15 сам не поток (R²=0.01-0.02),Стоит; основание ретракции A15/T20,results/experiment_B1_true_flux_baselines/
gen3,B2,B2,Профиль межмасштабной связи конвертов P — региональная сигнатура (1-й заход),"ERA5 850гПа u,v 0.25° 6ч; 4 региона × 4 окна",Октавные конверты вихря; ранговая связь соседних октав; классификация/Спирмен-кластеризация,NEGATIVE формально: обе метрики дефектны (потолок бейзлайна; вырожденный Спирмен); эксплораторно сигнал силён,Заменён B2b,results/experiment_B2_scale_irreversibility/
