блок,код_эксперимента,ветка,проверяемая_гипотеза,зачем_для_теории_простыми_словами,постановка_компактно,результаты_и_интерпретация,ограничения
ATMOSPHERE_DATA,A01,M1,M1: макроскопическая обнаружимость Lambda в ERA5-влагобюджете,"Проверить, что эффект межмасштабной кривизны остаётся измеримым не только в toy-моделях, но и на реальных атмосферных данных","WPWP (81x161, 2017-2019, шаг 6ч), residual closure: сравнение ctrl vs ctrl+Lambda, blocked CV (6 fold), ridge alpha=1e-6, permutation n=140","oof_gain_frac=0.003412 (~0.34%); perm_p_value=0.00709; split_gain_median=0.00439; pass_all=True. Эффект малый, но статистически значимый и воспроизводимый",Сигнал близок к пределу наблюдаемости и зависит от качества реанализа/параметризаций
ATMOSPHERE_DATA,A02,M2,M2: структурная консистентность (Lambda_h vs Lambda_v) и плацебо-фальсификация,"Проверить, что обнаруженный сигнал физический, а не артефакт конкретной дискретизации или автокоррелированного шума",Сопоставление независимых горизонтальной и вертикальной реконструкций Lambda + AR(24) placebo-суррогаты (n_synth=100),"corr(Lambda_h,Lambda_v): r=0.99631, R2=0.99263; p_placebo=0.0 для lambda_h и lambda_v; real_gain ~0.0034 выше хвоста синтетики. Сигнал структурно устойчив и не сводится к шуму","Плацебо-тест исключает простой шумовой сценарий, но не заменяет полного причинного вывода"
ATMOSPHERE_DATA,A03,M3,M3: парадокс суша/океан и noise-probe предел наблюдаемости,"Выяснить, почему над сушей gain может пропадать при сохранении океанического сигнала","Land/Ocean split + варианты цели residual_full, residual_no_pe, p_minus_e_only, residual_full_roll4 (24ч сглаживание)","residual_full: land gain=-0.000491 (p=0.879), ocean gain=0.001818 (p=0.0213); residual_no_pe: land~-0.000019; roll4: land=0.001357 (p=0.0567), ocean=0.004099 (~0.41%, p=0.0213). Это согласуется с шумовым лимитом наблюдаемости над сушей",Разделение чувствительно к целевой функции и к ассимиляционным особенностям ERA5
ATMOSPHERE_DATA,A04,O1,O1: термодинамический предел (Clausius baseline доминирует),"Проверить, остаётся ли пространство для Lambda-поправки после учёта классического макротермодинамического закона","Exp O (FT слой): dS_hor ~ (1/T_eff)*dQ_in (база) против +Lambda (полная), out-of-time test (train<=2018, test=2019)","R2_base=0.932165, R2_full=0.932161, gain=-3.75e-06, perm_p=0.404. На макромасштабе доминирует классическое Clausius-замыкание, вклад Lambda подавлен","Это не опровержение механизма Lambda, а указание на термодинамический и инструментальный предел текущего разрешения"
ATMOSPHERE_DATA,A05,O2,O2: пространственная диагностика макросигнала и локальная слабость эффекта,"Проверить, концентрируется ли gain в конвективно-активных областях и есть ли выраженные горячие точки",Карта локальных gain по FT + корреляция с convective climatology + panel land-aware контроль,"corr(gain,convective_clim)=0.0317 (<0.3 порога), max_gain=0.000920 (<0.05 порога), panel_gain=3.42e-06, corr(lambda_recon,global_lambda)=0.9696. Пространственный эффект слабый и шумочувствительный при текущей постановке",Критерий зависит от выбранной маски/метрики; для прямой детекции нужны более высокое разрешение и/или LES-данные
ATMOSPHERE_DATA,A06,M4,M4: фальсификация необходимости Lambda через перестановку масштабов,"Проверить, что прирост качества даёт именно структурный Lambda-сигнал, а не произвольная линейная добавка","Три стадии в одном блоке: S1 Placebo-mu (перестановка scale-слоёв в Lambda), S2 F^comm-контроль (скалярная часть), S3 AIC/BIC на OOF-остатках для ctrl, ctrl+Lambda, ctrl+placebo_mu, ctrl+comm",mae_gain_real=0.003412; mae_gain_placebo=-0.002986; perm_p(placebo)=1.0; mae_gain_comm=0.0; beta_comm=0.0; DeltaAIC=-13.202; DeltaBIC=-6.817. Реальный Lambda проходит стадии M4 и остаётся необходимым по информационным критериям,"F^comm в данной реализации вырождается в ноль (trace(comm)=0), поэтому это строгий нулевой контроль; проверка не заменяет причинный вывод вне текущей постановки"
ATMOSPHERE_DATA,A07,F5,F5: structural-scale Lambda на ERA5/WPWP детектируется и усиливается при мультискейловости,"Проверить, что геометрический сигнал виден в данных атмосферы и исчезает на плацебо/коммутативных фальсификациях.","Curated Experiment M + внешние фрактальные суррогаты (PSD-наклон, variogram slope), blocked-CV, permutation, placebo-time, polynomial placebo, commutative control, land/ocean split.","oof_gain_frac=0.003412>=0.002, perm_p=0.007092<=0.05, strata_positive_frac=1.0; оба суррогата проходят связь с |Lambda|; placebo/commutative контроли деградируют; PASS_ALL=True.","Согласие двух суррогатов умеренное (Spearman~0.587, mean|z_diff|~0.661); эффект в данных есть, но оценка фрактальности остаётся шумочувствительной."
ATMOSPHERE_DATA,A08,F6b,F6b: тяжелые хвосты |Lambda_struct| в ERA5 относятся к SOC-классу с alpha около 1.54,"Проверить, переносится ли toy-SOC универсальность из F6 на реальные атмосферные данные без подгонки порога/фита.","Строгий Clauset/Newman fit: x_min выбирается по минимуму KS на сетке перцентилей [70,99], alpha оценивается MLE, сравнение хвостов через LLR (Power-law vs Exponential); запуск как на агрегированном ряду, так и на panel Lambda_local.","Global: alpha_emp=2.906392, dynamic_range=15.464, LLR p=0.009391; Panel: alpha_emp=3.306688, dynamic_range=15.269, LLR p≈0.0. Степенной хвост детектируется, но alpha устойчиво выше диапазона [1.3,2.0], PASS_ALL=False. Вывод: хвосты тяжелые, но не в toy-SOC классе при текущем масштабе наблюдения.",Атмосферный сигнал является смесью режимов и временных шкал; агрегация и coarse-resolution ERA5 могут завышать alpha.
ATMOSPHERE_DATA,A09,F6c,F6c: внутри физически осмысленных подпространств (кластеров режимов) появится alpha в диапазоне 1.5-2.0,"Отделить смешение каскадов и проверить, скрывается ли SOC-подобный хвост в подрежимах.","Анти-overfit протокол: фиксированные признаки (fractal_z, conv_z, exchange_z), K=6 кластеров, Bonferroni-коррекция p-values; tail fit в каждом кластере тем же MLE+KS+LLR пайплайном.","Global alpha_mle=3.161476; any_cluster_passes_corrected_strict=False; PASS_ALL=False. Ни один кластер не вошел в alpha-диапазон [1.5,2.0] при строгих критериях.",Неподконтрольная кластеризации неоднородность событий остаётся; три прокси-признака могут быть недостаточны для выделения чистых каскадных режимов.
ATMOSPHERE_DATA,A10,F6c_spatial,F6c-spatial: локальные географические патчи могут содержать SOC-подобные хвосты даже при отрицательном глобальном результате,"Проверить, не теряется ли SOC-сигнал из-за пространственного усреднения по всему WPWP-домену.","Patch-wise fitting на панели |Lambda_local(t,y,x)|: окно 15x15, stride=6, для каждого патча независимый MLE+KS+LLR fit и строгая маска alpha in [1.5,2.0] + dynamic range + LLR significance.","fit-available patches=300/300; alpha_min=2.7546, alpha_q10=2.9790, alpha_median=3.2272; strict SOC-candidate patches=0. Локальных «карманов» SOC-диапазона не обнаружено.",Фиксированный размер патча может сглаживать короткоживущие конвективные всплески; требуется event-gated пространственная выборка без постфактум подбора.
ATMOSPHERE_DATA,A11,M5_phi_transfer_strict,"M5: строгий transfer-тест Phi над Lambda на хронологических holdout'ах ERA5","Проверить, переносится ли memory-proxy Phi как самостоятельный инкремент к closure без утечки по времени.","Strict protocol: train<=2019 -> test=2020 -> external=2021; ridge и permutation фиксированы; сравнение ERA5+Lambda vs ERA5+Lambda+Phi и shuffled-Phi.","Канонический endpoint: phi-only strict (causal2019) даёт gain_lambda_vs_ctrl=-0.002240 (p=0.4055), gain_phi_vs_lambda=-0.000067 (p=0.3810), external gain_phi_vs_lambda=-0.000023 (p=0.3350). Интерпретация: прямой Phi-over-Lambda transfer в этом режиме не подтверждён.",Негативный строгий результат не опровергает memory-гипотезу целиком; он задаёт границу single-tile transfer без boundary-context.
ATMOSPHERE_DATA,A12,M6_halo_boundary_strict,М6: строгий halo-boundary closure с оценкой только по внутреннему ядру,"Проверить, улучшает ли физически соседний контекст closure внутреннего ядра без двойного штрафа за границу.","Core-only scoring + halo predictors; split train<=2019 -> test=2020 -> external=2021; blocked chronology; модельная лестница ERA_core/ERA_window/+Phi_H/+Lambda_H/shuffled.","Канонический run v2: ERA_window gain_vs_core=0.136707 (test 2020, p=0.0005) и 0.092229 (external 2021, p=0.0005). Halo-context даёт большой и устойчивый переносимый прирост по сравнению с core-only baseline.",Инкременты +Phi_H/+Lambda_H над ERA_window малы; ключевой эффект — сам граничный bath-context.
ATMOSPHERE_DATA,A13,M7_halo_width_scan,М7: preregistered halo-width scan в фиксированной core-постановке,"Проверить, является ли halo-эффект физически локальным и немонотонным по ширине, а не следствием добавления всё большего числа признаков.","Locked protocol: core_margin=10, halo_mode=local, widths {0,4,6,8,10}, одинаковая лестница моделей и permutation n=1999.","ERA_window gain_vs_core: w0=0.000000/0.000000, w4=0.151703/0.156626, w6=0.137846/0.131756, w8=0.129966/0.112355, w10=0.126708/0.097619 (test/external; p=0.0005 для w>=4). Оптимум на w=4 и явное насыщение/деградация при расширении.",Сетка ширин конечна; для других регионов/масштабов оптимальная ширина может смещаться.
ATMOSPHERE_DATA,A14,M8_halo_falsification,М8: фальсификационный блок halo-physics (`local` vs `remote` vs `misaligned`),"Отделить физически примыкающий boundary context от сценария «любой дополнительный контекст полезен».","Фиксируем width=4 (из M7) и сравниваем local halo против remote и misaligned контролей при той же core-метрике.","ERA_window gain_vs_core: local=0.151703/0.156626, remote=0.097182/0.058412, misaligned=0.073343/0.059724 (test/external; все p=0.0005). Разности local-remote: +0.054521/+0.098214; local-misaligned: +0.078360/+0.096902.","Фальсификация проверяет пространственную релевантность контекста, но не заменяет полноценную many-body глобальную модель атмосферы."
ATMOSPHERE_EXTENSION,A07.R1,A07.R1_mrealpilot_v1_indep,Независимое сезонное расширение (без ретюнинга) подтверждает сигнал M-realpilot v1 expanded positive,Проверка против подгонки: сохраняется ли эффект на out-of-sample событиях при фиксированной схеме.,"Frozen protocol без изменений (feature set, thresholds, Ridge alpha=10, LOEO-CV, n_perm=499). Новая панель: Sep-Oct 2024, 12 событий, MRMS+ABI(C13)+GLM.","mean_mae_gain=-0.009710, perm_p_time=0.708, perm_p_event=0.160, event_positive_frac=0.417, PASS_ALL=False. Независимое расширение не воспроизводит положительный эффект, что согласуется с честной анти-overfit проверкой.",Небольшой объём независимого окна (24 supervised samples) и сдвиг сезонно-региональной структуры могут снижать обнаруживаемость.
ATMOSPHERE_EXTENSION,A07.R2,A07.R2_mrealpilot_v1_satcomp,В независимом окне ABI+GLM устойчивее ABI-only при неизменном протоколе,"Понять, несёт ли GLM добавочную физическую информацию сверх ABI в out-of-sample режиме.","На том же modeling_dataset из A07.R1 сравнение двух frozen-вариантов структурных столбцов: ABI-only (abi_cold_frac_235, abi_grad_mean) vs ABI+GLM (плюс glm_flash_count_log, convective_coupling_index), без ретюнинга.","ABI-only mean_gain=-0.000609 (p_time=0.132, p_event=0.082); ABI+GLM mean_gain=-0.009710 (p_time=0.704, p_event=0.184). В этом независимом срезе добавление GLM не улучшает и даже ухудшает gain.",Вывод локален для данного независимого окна; требуется повтор на более широком гео/сезонном наборе при неизменной frozen схеме.
ATMOSPHERE_EXTENSION,A07.R3,A07.R3_mrealpilot_v1_geography,Независимое географическое расширение (Southwest) воспроизводит frozen сигнал M-realpilot,Отделить вклад региона от сезонности и проверить переносимость метода без ретюнинга.,"Frozen protocol без изменений (feature set/thresholds/Ridge alpha=10/LOEO-CV/n_perm=499) на новой Southwest-панели (12 событий, Jul-Sep 2024), затем ABI-only vs ABI+GLM на том же modeling dataset.","main mean_gain=-0.016272, p_time=0.978, p_event=0.584, PASS_ALL=False. ABI-only=-0.011403 и ABI+GLM=-0.016272 (delta=-0.004868): в этом географическом срезе GLM-компонента не улучшает, а усиливает деградацию.",Результат относится к выбранному Southwest набору и 24 supervised samples; для устойчивого вывода нужен следующий независимый региональный набор при той же frozen схеме.
ATMOSPHERE_EXTENSION,A07.R4,A07.R4_mrealpilot_applicability_map,Сигнал метода определяется совместно сезоном/регионом и составом спутниковых признаков,"Превратить разрозненные прогоны в карту применимости и понять, где Lambda-proxy реально детектируется.","Сведены три frozen-рана (expanded-positive, independent-seasonal, independent-geographic Southwest) по осям season/region, ABI-only gain, ABI+GLM gain, доля активных окон, средняя GLM sparsity.","Положительный результат остаётся только у v1_expanded_positive (gain=0.001576); оба независимых расширения отрицательны. ABI+GLM > ABI-only только в positive run, а в независимых срезах ABI+GLM хуже ABI-only. Это указывает на regime-dependence и слабую переносимость lightning-coupling без доп. отбора режима.","Карта применимости пока основана на 3 ранах; статистика sparsity ограничена текущей метрикой (доля нулевых flash_count), которая оказалась близка к нулю во всех трёх панелях."
ATMOSPHERE_EXTENSION,A07.R5,A07.R5_mrealpilot_regime_perimeter,На frozen протоколе детекция структурного сигнала носит режимный характер и описывается единым периметром исходов,Собрать положительные и отрицательные прогоны в общий формальный объект и отделить ограничение области применимости от опровержения bridge.,"Единый пакет для трех frozen run-ов (expanded-positive, independent seasonal, independent geographic Southwest): общий outcome-вектор y=(mean_gain,p_time,p_event,q_plus,active_minus_calm,PASS_ALL), единые статусы Detected/Compatible undetected/Bridge tension, фиксированный hash протокола.","Периметр: 1 Detected (R1) и 2 Bridge tension (R2,R3). Для R2 и R3 ABI+GLM ухудшает gain относительно ABI-only; detection подтверждена как regime-conditional на конкретном протоколе, а не универсальная.",Периметр пока включает 3 run-а; для статистически более плотной карты применимости нужны дополнительные независимые регионы/сезоны без изменения frozen-настроек.
ATMOSPHERE_EXTENSION,A05.R1,A05.R1_p1_spatial_occupancy_cascade,Scale-space occupancy cascade (`l->2l`) выявляет устойчивый сигнал на process-resolved панели,"Перейти от макроусреднения к локальной tile-геометрии и проверить, усиливается ли наблюдаемость межмасштабной структуры на атмосферных данных.","P1-lite на realpilot expanded panel (72 rows/24 events): blocked-CV по event_id, scales l={8,16,32}, target_density_coarse, сравнение baseline vs baseline+lambda_proxy, permutation n=49.","ALL: mae_gain=5.10e-05, r2_gain=0.0220; на l=8/16 значимый положительный gain (perm_p=0.02), на l=32 H1 не проходит при положительном H2/H3. Интерпретация: fine-to-mid scale bridge детектируется устойчиво.",Ограничение л=32 связано с низкой плотностью информативных ячеек и чувствительностью к comm-floor; нужен theory-close bridge второго шага.
ATMOSPHERE_EXTENSION,A05.R2,A05.R2_p2_theory_bridge_c009,Некоммутирующее coarse-graining + density-matrix bridge (C009) устойчиво закрывает sparse-panel во всех масштабах,"Проверить, что теоретически близкий операторный мост (rho_occ + F_comm) даёт воспроизводимый прирост качества и проходит строгие контроли.","P2 + ablation: grid-скрининг 75 конфигураций, top-k финал с permutation n=49; выбран C009: weights=[1.5,1,1,1], lambda_scale_power=0.5, decoherence_alpha=0.5.","selected C009 (sparse 72x24): ALL mae_gain=7.43e-06, r2_gain=0.003392, perm_p=0.02, PASS_ALL=True; по l=8/16/32 все scale-level критерии проходят. C009 принят как канонический baseline.",Sparse-панель ограничена внутрисобытийной плотностью; переносимость на dense panel должна проверяться отдельно.
ATMOSPHERE_EXTENSION,A05.R3,A05.R3_p2_dense_c009,Калиброванный C009 переносится на dense ingest с положительным общим gain при fine-scale чувствительности,"Проверить transferability bridge при более плотном внутри-событийном покрытии без смены теоретических параметров.","Dense ingest (240 rows/16 stable events, контекст +/-6h) + тот же C009 и blocked-CV по event_id; сравнение sparse vs dense по общим и per-scale метрикам.","ALL остаётся положительным: mae_gain=3.10e-07, r2_gain=0.002100; l=16 и l=32 значимы (perm_p=0.02), l=8 деградирует (perm_p=0.80), поэтому PASS_ALL=False. Интерпретация: эффект сохраняется, но finest scale становится режимно-чувствительным.","Dense-панель имеет больше строк, но меньше событий (16 vs 24), поэтому l=8 особенно чувствителен к aliasing/threshold и внутрисобытийному шуму."
ATMOSPHERE_EXTENSION,A05.R4,A05.R4_p2_l8_resolution,Узкий diagnostic block по l=8 подтверждает физическую природу деградации и обосновывает P2-memory,"Отделить эффект смены event pool от эффектов оператора/резолюшена и локализовать режим, где ломается переносимость.","5 тестов: matched-event, local scalar ablation, operator attribution, resolution scan, regime split + целевой combo-check; использован final memo report_P2_l8_resolution.md.","Matched-event: проблема не объясняется только составом событий; scalar ablation не лечит сигнал; drop_sq и threshold=2.5 в диагностике восстанавливают pass (combo: mae_gain=6.98e-06, r2_gain=0.00656, perm_p=0.02). Regime split: провал локализован в calm, active/transition устойчивы. Программное решение: baseline C009 сохраняется; retune-варианты остаются диагностическими; следующий theory-close шаг — retarded density matrix (P2-memory).",Диагностические retune-конфиги не приняты как production baseline; для физически строгого улучшения нужен отдельный P2-memory эксперимент.
ATMOSPHERE_EXTENSION,A05.R5,A05.R5_p2_memory,Retarded density-matrix memory stabilizes fine-scale transfer on dense panel without ad-hoc retuning,"Проверить, что провал l=8 связан с отсутствием межмасштабной памяти, а не требует ручного исключения операторов или смены threshold.","P2-memory-lite поверх locked C009 на dense tile panel: lagged occupancy/density features t-1,t-2, exponential decay weights, blocked-CV по event_id, память применяется на l=8 при полном наборе операторов и стандартном threshold=3.0.","Best config M001: memory_eta=0.8, memory_tau=0.75, persistence_power=0.0, source=occupancy. l=8: mae_gain=1.22e-06, r2_gain=1.34e-04, perm_p=0.02, event_positive_frac=0.9375, PASS_ALL=True. ALL: mae_gain=1.37e-06, r2_gain=2.18e-04, perm_p=0.02, PASS_ALL=True. Память восстанавливает finest-scale и закрывает серию A05 theory-close образом.","Пока это minimal memory-lite с lookback=2 и дискретным lag-mixing; для статьи нужно явно описать его как эффективную, а не полную GKSL/CPTP реализацию."
ATMOSPHERE_EXTENSION,A05.R6,A05.R6_p2_memory_gksl_cptp,"Полная GKSL/CPTP память на l=8 подтверждает, что memory-эффект не является суррогатным артефактом","Проверить физическую состоятельность memory-выигрыша через явную эволюцию rho_t CPTP-каналом вместо lag-mixing surrogate.","State-space модель: rho_t = Reset_t o GAD_t o Dephase_t o U_t(rho_{t-1}), blocked-CV по event_id, locked C009 без ручного drop channels/threshold.","Best G001: dephase_base=0.8, dephase_comm=0.4, relax_base=0.8, relax_comm=0.0, measurement=1.6, hamiltonian=0.2. CPTP validation proxy (trace/PSD violation) ~8.88e-16. l=8: mae_gain=2.27e-06, r2_gain=2.13e-04, perm_p=0.02, event_positive_frac=0.9375, PASS_ALL=True. ALL: mae_gain=2.19e-06, r2_gain=2.89e-04, perm_p=0.02, PASS_ALL=True.","Реализация использует effective 2x2 density matrix с параметризованным GKSL каналом; это полная CPTP-динамика в рамках bridge-модели, но не many-body full-field GKSL по всем пространственным степеням свободы."
